"ServerName";"Processor";"Manufacturer";"LogicalCores";"OS_Name";"OS_Version";"TotalPhysical_Memory_GB";"VolumeName_C";"IPAddr_1";"IPSubnet_1"
"DC01";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Datacenter";"10.0.14393";"4";"49,51";"10.1.1.5";"255.255.255.0"
"DC02";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Datacenter";"10.0.14393";"4";"49,51";"10.1.1.6";"255.255.255.0"
"RADMIN";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"4";"Microsoft Windows Server 2016 Standard";"10.0.14393";"8";"79,51";"10.1.1.22";"255.255.255.0"
"VEEAMCLOUD01";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"4";"Microsoft Windows Server 2016 Standard";"10.0.14393";"8";"69,45";"10.1.1.28";"255.255.255.0"
"VEEAMCLOUD02";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"4";"Microsoft Windows Server 2016 Standard";"10.0.14393";"16";"69,45";"10.1.1.29";"255.255.255.0"
"VEEAMCLOUD03";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"4";"Microsoft Windows Server 2016 Standard";"10.0.14393";"16";"99,45";"10.1.1.52";"255.255.255.0"
"VEEAMCLOUD04";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Standard";"10.0.14393";"4";"69,51";"10.1.1.53";"255.255.255.0"
"VEEAMCLOUD05";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Standard";"10.0.14393";"4";"69,51";"10.1.1.54";"255.255.255.0"
"VEEAM-EM01";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Standard";"10.0.14393";"4";"69,51";"10.1.1.38";"255.255.255.0"
"VEEAMMSSQL01";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"VMware, Inc.";"2";"Microsoft Windows Server 2016 Standard";"10.0.14393";"8";"99,5";"10.1.1.31";"255.255.255.0"
"VEEAM-REPO01";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"Huawei";"56";"Microsoft Windows Server 2016 Standard";"10.0.14393";"384";"99,45";"10.1.1.50";"255.255.255.0"
"VEEAM-REPO02";"Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz";"Huawei";"56";"Microsoft Windows Server 2016 Standard";"10.0.14393";"384";"99,45";"10.1.1.51";"255.255.255.0"
